Datum;dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];
06.02.2024 22:05;-2.7235;-2.9295;-2.6795;-2.2535;-3.1185;-2.4085;0.7770;0.1190;-1.4155;-3.8695;0.1060;-0.6110;0.5770;2.0970;4.3750;2.4880;0.6144;3.4658;2.3990;5.0055;2.0635;6.7035;4.4195;4.7945;3.1425;2.2455;-1.0765;3.8495;-2.5905;-2.7315;-1.0205;-3.0445;0.0000;-1.9885;-1.9435;-1.6105;-3.0405;-1.0135;0.7990;-0.4490;-0.8765;-3.8605;1.6130;1.3820;0.6350;1.5960;1.8440;-2.3523;-1.3790;0.2410;4.2110;1.6458;9.2835;4.1895;6.4025;6.4125;3.2745;3.3325;-1.6725;-2.3525;-0.6265;-2.0185;
06.02.2024 22:00;-2.4700;-2.5380;-2.3020;-1.9930;-2.9440;-2.2210;0.6620;0.0450;-1.2000;-3.5360;-0.0250;-0.6990;0.6740;1.9180;4.4730;2.1900;0.3165;3.1663;2.1008;4.7010;1.8260;6.6070;4.0350;4.5330;3.1120;2.0650;-1.0630;3.5630;-1.7670;-2.3210;-0.8960;-2.7420;0.0000;-1.6880;-1.5980;-1.4260;-2.7680;-0.7900;0.5520;0.0570;-0.5700;-3.4960;1.5730;1.6670;0.5780;1.6430;1.8320;-2.3458;-1.6360;-0.0450;3.9129;1.3306;8.8110;3.6940;6.3790;6.4190;2.9930;2.1260;-1.5610;-2.2400;-0.1160;-1.8600;
06.02.2024 21:55;-2.6459;-2.6139;-2.4809;-2.1049;-2.9839;-2.2739;0.5100;-0.3030;-1.1869;-3.6699;-0.1700;-0.8610;0.4990;1.5940;4.3410;2.3290;0.4553;3.3066;2.2399;4.8471;1.8951;6.6211;4.1631;4.5291;3.1061;2.2911;-1.1539;3.8041;-1.9559;-2.6269;-1.3109;-2.9859;0.0000;-1.8519;-1.7349;-1.4199;-2.9449;-0.8269;0.3980;0.1580;-0.6779;-3.6929;1.5490;1.4140;0.3660;1.4640;1.7090;-2.3604;-1.4630;0.1060;4.0524;1.4708;8.9371;3.8951;6.4821;5.9821;2.8471;2.3371;-1.7249;-2.4969;-0.2559;-1.9539;
06.02.2024 21:50;-2.6368;-2.7948;-2.5478;-2.1678;-3.0578;-2.3488;0.3480;-0.5460;-1.2518;-3.8038;-0.3070;-1.0690;0.5320;1.4900;3.9780;2.2300;0.3618;3.2086;2.1402;4.7382;1.7152;6.6042;4.0952;4.6672;2.9562;2.2622;-1.0768;3.8032;-1.8368;-2.7878;-1.0928;-2.9268;0.0000;-1.8438;-1.8578;-1.5468;-2.9908;-0.9418;0.3230;-0.3680;-0.7698;-3.7638;1.3260;1.3420;-0.0930;1.2610;1.4560;-2.3827;-1.5020;-0.0130;3.9530;1.3612;8.5992;3.7332;6.5112;6.3462;2.9602;2.3302;-1.7148;-2.4868;-0.3098;-2.0278;
06.02.2024 21:45;-3.0953;-3.1893;-2.9243;-2.5083;-3.4833;-2.7493;0.4950;-0.1650;-1.6533;-4.0743;-0.1320;-0.9330;0.4210;1.5470;3.9800;1.6960;-0.1843;2.6729;1.6067;4.2107;1.7607;6.2967;3.2807;4.2277;2.8287;1.3407;-1.5013;3.5297;-2.2323;-3.0363;-1.9133;-3.3493;0.0000;-2.3233;-2.3153;-1.9493;-3.3703;-1.2813;0.4390;-0.2910;-1.1313;-4.0893;1.4430;1.3540;-0.0160;1.3550;1.5090;-2.3784;-2.1000;-0.6190;3.4190;0.8220;8.4067;3.2987;6.1697;6.2187;2.6647;1.9407;-2.1083;-3.1193;-0.8703;-2.4333;
06.02.2024 21:40;-3.1388;-3.2738;-2.8038;-2.6068;-3.6398;-2.7568;0.5720;-0.0030;-1.8588;-4.2198;-0.1370;-0.8400;0.6780;1.7800;4.2490;2.2940;0.4189;3.2707;2.2042;4.8002;1.8042;6.3122;4.4482;4.4402;2.9582;2.7862;-1.3508;4.1292;-2.5038;-3.3308;-1.8198;-3.4418;0.0000;-2.3788;-2.2928;-2.0928;-3.5358;-1.4308;0.6360;-0.1110;-1.2248;-4.1568;1.6020;1.3050;0.4020;1.4900;1.6290;-2.3643;-1.4540;0.1120;4.0168;1.4190;8.6922;3.7892;6.2032;5.9942;2.8152;2.8902;-2.2948;-2.7948;-0.7618;-2.5068;
06.02.2024 21:35;-3.0494;-2.9924;-2.8394;-2.4594;-3.3374;-2.6674;0.5530;-0.0200;-1.6464;-3.9424;-0.0180;-0.8010;0.5180;1.6070;4.2380;2.3760;0.4955;3.3530;2.2861;4.8876;1.7436;6.6596;3.7806;4.8086;3.3986;1.8896;-1.5844;3.6446;-2.6314;-3.4244;-1.6564;-3.3514;0.0000;-2.2444;-2.1964;-1.8644;-3.2494;-1.2194;0.8120;-0.0670;-1.0664;-3.9274;1.6360;1.6470;0.1640;1.5120;1.7120;-2.3570;-1.4370;0.1230;4.0990;1.5040;8.9286;4.2066;6.2256;6.4736;2.8726;2.6186;-2.2034;-2.6554;-0.8764;-2.3654;
06.02.2024 21:30;-3.1056;-3.0266;-2.9686;-2.7746;-3.4616;-2.8556;0.1700;-0.5900;-1.7676;-4.0246;-0.3510;-1.1400;0.2830;1.2570;3.9430;1.7930;-0.0887;2.7706;1.7029;4.3064;1.3874;5.9724;3.6054;4.0344;2.9484;1.7134;-1.6996;3.3784;-2.4936;-2.8286;-1.6136;-3.4266;0.0000;-2.2946;-2.1696;-2.0766;-3.3216;-1.3386;0.2510;-0.3770;-1.1676;-4.0246;1.2010;1.1060;0.0760;1.0920;1.4160;-2.3857;-1.9980;-0.4280;3.5158;0.9224;8.2184;3.5124;5.8054;5.8634;2.3904;1.5604;-2.2216;-2.8136;-0.7796;-2.4216;
06.02.2024 21:25;-2.5956;-2.6156;-2.4886;-2.0336;-2.9796;-2.2506;0.4150;0.1210;-1.2086;-3.5956;-0.0580;-0.9090;0.6720;1.8440;4.1680;2.3130;0.4290;3.2914;2.2235;4.8294;1.9354;6.6044;3.9984;4.6414;3.3964;2.4214;-0.9666;4.1444;-1.9236;-2.3896;-1.0856;-2.8806;0.0000;-1.8116;-1.8116;-1.4006;-2.8276;-0.8256;0.5130;0.0950;-0.6136;-3.5536;1.5810;1.3260;0.5110;1.3760;1.6000;-2.3708;-1.4280;0.1660;4.0365;1.4594;8.8124;4.0874;6.5124;6.4214;3.2484;2.5404;-1.6416;-2.3176;-0.5346;-1.9246;
06.02.2024 21:20;-3.6472;-3.6952;-3.4342;-3.1592;-4.0492;-3.2502;0.2010;-0.2830;-2.3182;-4.7282;-0.4540;-1.2200;0.2010;1.2950;3.8030;1.7720;-0.1073;2.7501;1.6816;4.2798;1.0968;5.9718;3.5108;3.8058;2.2728;1.2888;-1.9772;3.4408;-2.8602;-3.8112;-2.2502;-3.9202;0.0000;-2.8642;-2.8992;-2.4522;-3.8562;-1.9212;0.2810;-0.2960;-1.6572;-4.5252;1.2060;1.1120;0.2820;1.1140;1.2740;-2.4016;-2.0090;-0.3660;3.4951;0.9270;7.9758;3.2618;5.4598;5.6018;2.0958;1.8418;-2.7742;-3.2782;-1.4112;-2.9762;
06.02.2024 21:15;-3.2922;-3.3842;-3.1752;-2.8022;-3.7182;-2.8632;0.4680;-0.1560;-1.8352;-4.3272;-0.1240;-0.8500;0.4610;1.6790;4.2410;2.1310;0.2498;3.1062;2.0405;4.6338;1.2428;6.0148;3.2748;3.8268;2.9298;1.3108;-1.7792;3.7008;-2.4262;-3.4852;-1.8932;-3.6312;0.0000;-2.5502;-2.5972;-2.1382;-3.6202;-1.4932;0.6210;-0.0520;-1.2702;-4.2122;1.5130;1.3090;0.4430;1.3400;1.6130;-2.3662;-1.7440;-0.0990;3.8535;1.2762;8.3188;3.6328;5.5658;5.8398;2.6888;1.8888;-2.3432;-3.1982;-0.9382;-2.6102;
06.02.2024 21:10;-2.6513;-2.7693;-2.4183;-2.2153;-3.0433;-2.1583;0.2350;-0.2920;-1.2943;-3.8823;-0.1920;-1.1070;0.2390;1.3140;4.1090;1.8120;-0.0719;2.7877;1.7217;4.3177;1.1657;5.7867;3.0787;3.7577;2.5377;1.2577;-1.4703;3.1327;-2.0323;-2.9713;-1.2133;-2.9303;0.0000;-1.9513;-1.9593;-1.6043;-2.8683;-0.8083;0.3600;-0.1770;-0.6623;-3.7713;1.3370;1.1280;0.1040;1.1450;1.4310;-2.3892;-2.0300;-0.4010;3.5345;0.9480;8.1667;3.3187;5.4987;5.6997;2.3887;2.0437;-1.6843;-2.3463;-0.4493;-2.0203;
06.02.2024 21:05;-2.4650;-2.6110;-2.3010;-2.0040;-2.8650;-2.1730;0.3490;-0.4700;-1.1230;-3.4300;-0.1980;-1.0350;0.2740;1.6420;4.2430;1.9350;0.0496;2.9105;1.8443;4.4360;1.2750;5.8980;3.4180;4.1490;2.6590;1.6200;-1.3160;3.4120;-1.9240;-3.0730;-1.2790;-2.7940;0.0000;-1.7600;-1.7550;-1.3240;-2.8880;-0.7670;0.3760;-0.0960;-0.5860;-3.5550;1.4040;1.3770;0.4300;1.2640;1.5260;-2.3762;-1.9150;-0.3210;3.6576;1.0642;8.3110;3.7410;5.9340;5.9530;2.8710;1.9680;-1.5930;-2.2080;-0.1680;-1.8530;
06.02.2024 21:00;-2.8645;-2.9245;-2.5885;-2.3415;-3.2405;-2.4255;0.3020;-0.3450;-1.3375;-3.9325;-0.2630;-1.0740;0.2720;1.4970;4.0290;1.9590;0.0791;2.9350;1.8685;4.4635;1.3295;6.2895;3.3525;4.0795;2.8405;2.0795;-1.5725;3.6105;-2.2985;-2.8945;-1.2625;-3.1065;0.0000;-2.1705;-2.0175;-1.6235;-3.2495;-1.0395;0.4470;-0.4950;-0.9035;-3.9385;1.3410;1.2130;0.0550;1.1690;1.3830;-2.3880;-1.8880;-0.2310;3.6814;1.0748;8.3295;3.5855;5.9665;5.7975;2.6895;1.9305;-1.8335;-2.4885;-0.4765;-2.1805;
06.02.2024 20:55;-2.6045;-2.6305;-2.3915;-2.1105;-2.9415;-2.2865;0.1940;-0.5520;-1.2255;-3.7225;-0.4270;-1.2480;0.3150;1.5510;3.9940;2.0700;0.1857;3.0465;1.9796;4.5875;1.5295;6.1805;3.6315;4.3345;2.9265;2.0805;-1.2305;3.7805;-1.9485;-2.7305;-1.0205;-2.9745;0.0000;-1.8595;-1.8175;-1.4065;-2.9495;-0.8595;0.1330;-0.2970;-0.6765;-3.6525;1.1860;1.1010;-0.0760;1.0550;1.2720;-2.3993;-1.7320;-0.1510;3.7927;1.2000;8.5185;3.8295;5.7225;6.1955;2.7885;1.9715;-1.7185;-2.2255;-0.4325;-2.0175;
06.02.2024 20:50;-2.6512;-2.6132;-2.4602;-2.0682;-3.0512;-2.2482;0.3770;0.0000;-1.1902;-3.5202;-0.2890;-1.0830;0.5840;1.2100;4.0120;2.1000;0.2031;3.0759;2.0086;4.6048;1.6368;6.3178;3.5338;4.2778;2.6138;1.9118;-1.2182;3.7148;-1.8162;-2.7802;-1.1362;-2.9712;0.0000;-1.8792;-1.8582;-1.4142;-2.9442;-0.8102;0.4410;0.0930;-0.6622;-3.5892;1.3470;1.1250;-0.1100;1.1200;1.4160;-2.3899;-1.7910;-0.1720;3.8221;1.2292;8.5048;3.5178;5.9698;6.0988;2.6768;1.9698;-1.6192;-2.2392;-0.2842;-2.0382;
06.02.2024 20:45;-2.3864;-2.5574;-2.1754;-1.8594;-2.8434;-1.9574;0.4270;-0.3080;-0.9344;-3.3874;-0.0570;-0.9090;0.4290;1.6590;4.1320;1.9860;0.0927;2.9627;1.8964;4.4996;1.7926;6.3796;3.8856;4.6966;3.2446;2.5506;-1.0074;4.1926;-1.6564;-2.2434;-1.1524;-2.7414;0.0000;-1.6294;-1.5864;-1.2584;-2.6964;-0.5934;0.4520;-0.6850;-0.4594;-3.3444;1.5560;1.3850;0.4560;1.3350;1.5620;-2.3760;-1.9140;-0.2290;3.7088;1.1448;8.4656;3.8496;6.3686;6.2686;2.9216;2.3856;-1.3444;-1.7404;-0.1684;-1.7424;
06.02.2024 20:40;-2.3597;-2.4507;-2.2427;-1.9977;-2.7957;-2.0477;0.3420;-0.3230;-0.9937;-3.4267;-0.1900;-1.0740;0.2570;1.3040;4.0230;2.1010;0.2169;3.0780;2.0117;4.6233;1.5063;6.1723;3.6823;4.2273;3.0273;1.8833;-1.3147;3.5783;-1.7097;-2.1107;-1.3637;-2.8067;0.0000;-1.5617;-1.6987;-1.2427;-2.6417;-0.5967;0.3710;-0.4860;-0.4807;-3.4597;1.4290;1.1260;0.0440;1.1830;1.4750;-2.3806;-1.7320;-0.1070;3.8241;1.2590;8.3843;3.7943;6.0763;5.9953;2.6813;2.0393;-1.4387;-2.1247;-0.0817;-1.7227;
06.02.2024 20:35;-2.7753;-2.8593;-2.6313;-2.3103;-3.1633;-2.4983;0.0400;-0.6980;-1.4053;-3.8583;-0.4330;-1.2680;0.0470;1.2030;3.7910;2.0550;0.1751;3.0322;1.9653;4.5677;1.7657;6.4267;3.6767;4.2257;3.0467;1.9187;-1.1653;3.7517;-2.1483;-2.8993;-1.0793;-3.0883;0.0000;-2.0173;-1.9223;-1.6863;-3.1423;-1.1103;0.1200;-0.3200;-0.8633;-3.8603;1.1500;0.8500;-0.1650;0.9740;1.2590;-2.4006;-1.7860;-0.1180;3.7777;1.1932;8.6147;3.8127;5.9077;5.9907;2.9837;2.4937;-1.8723;-2.5323;-0.5803;-2.1713;
06.02.2024 20:30;-2.8503;-2.9733;-2.5423;-2.2523;-3.2123;-2.4783;0.1760;-0.2370;-1.4113;-3.9683;-0.2110;-1.0650;0.1560;1.5470;4.0350;2.1360;0.2600;3.1132;2.0463;4.6497;1.3917;5.9427;3.1307;3.6317;2.9477;2.1137;-1.4773;3.4557;-2.0193;-2.9133;-1.2363;-3.0753;0.0000;-2.0643;-2.0603;-1.6653;-3.0733;-1.0063;0.3360;-0.0300;-0.8673;-3.9013;1.4260;1.2830;0.5810;1.2460;1.4750;-2.3802;-1.7540;-0.0680;3.8595;1.2744;8.2467;3.4147;5.7017;5.7647;2.5657;1.9547;-1.8453;-2.2073;-0.5333;-2.1793;
06.02.2024 20:25;-2.4570;-2.5750;-2.2730;-1.9530;-2.8950;-2.2150;0.3990;-0.2750;-1.1520;-3.5170;-0.3500;-1.1020;0.5470;1.3790;3.9620;1.8850;-0.0053;2.8625;1.7948;4.3920;1.3280;6.1530;3.4470;3.9550;2.6130;1.9410;-1.1660;3.6810;-1.8870;-2.3210;-0.8760;-2.6970;0.0000;-1.7730;-1.6310;-1.3940;-2.8220;-0.7530;0.1000;-0.4030;-0.5550;-3.5360;1.2990;0.9970;0.3920;1.0720;1.3930;-2.3903;-1.9170;-0.1930;3.6081;1.0144;8.4120;3.6380;5.8370;5.7810;2.7570;2.6150;-1.4580;-2.0350;-0.0390;-1.7680;
06.02.2024 20:20;-2.4114;-2.5924;-2.2214;-1.9064;-2.8074;-2.1164;0.4120;-0.1470;-1.0424;-3.4014;-0.1300;-0.9060;0.6720;1.6190;4.2090;2.2960;0.4052;3.2736;2.2074;4.8176;1.7376;6.4026;3.4156;4.2076;2.3856;1.6646;-0.7874;3.7516;-1.6604;-2.0304;-0.9304;-2.6604;0.0000;-1.6564;-1.6224;-1.2724;-2.6794;-0.7014;0.4830;-0.0990;-0.4854;-3.3624;1.5390;1.4300;0.3980;1.3970;1.6760;-2.3611;-1.4220;0.1330;4.0199;1.4466;8.5336;3.5276;6.0766;5.7106;2.6896;2.7566;-1.4594;-2.3244;-0.3134;-1.7224;
06.02.2024 20:15;-2.6438;-2.7418;-2.5108;-2.1778;-3.0758;-2.3118;0.4310;-0.3350;-1.2308;-3.6928;-0.2390;-1.0310;0.4860;1.1500;4.1130;1.9220;0.0267;2.8985;1.8320;4.4322;1.5322;5.9862;3.6392;4.0672;2.8872;1.8822;-1.4168;3.5192;-2.0348;-2.8388;-1.2338;-2.9038;0.0000;-1.8598;-1.9038;-1.5618;-2.9658;-0.8528;0.3430;0.0310;-0.7538;-3.6298;1.4260;1.2550;0.0970;1.2480;1.5550;-2.3719;-1.9080;-0.3210;3.6447;1.0484;8.4992;3.6482;5.8032;5.8692;2.3082;1.7962;-1.7208;-2.2408;-0.4678;-1.9498;
06.02.2024 20:10;-2.7773;-3.0533;-2.4553;-2.0783;-3.1203;-2.4353;0.2510;-0.4340;-1.4963;-3.8603;-0.2450;-1.0520;0.2720;1.1120;4.0110;1.8020;-0.0893;2.7796;1.7121;4.3207;1.5397;6.1047;3.4267;4.0057;2.8477;1.8447;-1.4513;3.5957;-2.1453;-2.8163;-1.5973;-3.1163;0.0000;-1.9903;-2.1223;-1.5413;-3.1213;-0.9973;0.2090;-0.4190;-0.8353;-3.8043;1.3210;1.1300;-0.1760;1.1000;1.5060;-2.3767;-2.0220;-0.3200;3.5259;0.9560;8.4027;3.4957;6.1707;5.9497;2.8197;1.7847;-1.8453;-2.8223;-0.6323;-2.1873;
06.02.2024 20:05;-2.7005;-2.7645;-2.5105;-2.2535;-3.0645;-2.4095;0.1710;-0.5750;-1.2765;-3.6715;-0.3980;-1.1350;0.2960;1.3180;4.0290;2.4990;0.6065;3.4783;2.4096;5.0165;2.0925;6.7765;3.8615;4.4755;3.4105;2.6205;-1.0295;4.0755;-2.1635;-3.1345;-1.1695;-3.0255;0.0000;-1.9545;-1.9895;-1.6485;-3.0145;-0.9355;0.0490;-0.4390;-0.7875;-3.7775;1.2040;1.0580;0.1560;1.1810;1.4150;-2.3930;-1.3020;0.3540;4.2222;1.6384;8.8565;4.2605;6.6005;6.5525;3.3495;2.4455;-1.7015;-2.5575;-0.5195;-2.0775;
06.02.2024 20:00;-2.9511;-3.2231;-2.7391;-2.4491;-3.3131;-2.5111;0.3220;-0.5650;-1.6351;-4.0641;-0.1630;-1.0280;0.7560;1.6280;4.2310;2.1830;0.2875;3.1624;2.0931;4.6969;1.6869;6.4339;3.7999;4.3459;2.9659;2.0329;-1.4071;3.5599;-2.1681;-3.0111;-1.6791;-3.2411;0.0000;-2.2541;-2.2841;-1.8561;-3.2011;-1.1821;0.1930;-0.1140;-1.0211;-4.0631;1.3210;1.2700;0.3470;1.2350;1.5190;-2.3790;-1.5830;0.0310;3.9065;1.3108;8.6009;3.9839;6.6309;6.3859;2.7349;2.1299;-2.0461;-2.6591;-0.7021;-2.3401;
06.02.2024 19:55;-2.8654;-3.0374;-2.6634;-2.3264;-3.1544;-2.4644;0.3620;-0.8020;-1.3904;-3.8514;-0.2830;-1.1320;0.3420;1.4450;4.1060;2.0480;0.1468;3.0245;1.9575;4.5546;1.2536;6.0736;3.7716;4.0946;2.6466;1.4486;-1.4704;3.7206;-2.1694;-2.2394;-1.4694;-3.1134;0.0000;-2.1474;-2.1084;-1.6244;-3.0924;-1.1234;0.0770;-0.5910;-0.9754;-3.9384;1.1860;1.4030;0.1430;1.1900;1.4450;-2.3782;-1.8090;-0.1940;3.7705;1.1836;8.4026;3.6776;6.0016;5.7716;2.4626;1.8216;-1.9814;-2.5224;-0.5014;-2.2514;
06.02.2024 19:50;-2.3132;-2.3622;-2.0962;-1.8112;-2.6352;-1.9232;0.5680;-0.7820;-0.8842;-3.2862;-0.1490;-0.9370;0.5590;1.5250;4.2790;2.1930;0.2987;3.1717;2.1031;4.7078;1.9148;6.8108;4.2108;4.6258;3.2138;2.1038;-0.9492;3.6878;-1.5932;-2.1502;-0.8362;-2.4982;0.0000;-1.4992;-1.4162;-1.1532;-2.5932;-0.5362;0.4830;-0.0890;-0.3652;-3.2812;1.3150;1.3040;0.2310;1.3110;1.6490;-2.3645;-1.6520;-0.0010;3.9156;1.3304;8.8268;4.1138;6.8348;6.6048;2.9758;2.0918;-1.3342;-1.9082;-0.0492;-1.6262;
06.02.2024 19:45;-3.0133;-3.1563;-2.9403;-2.6183;-3.2523;-2.5863;0.4440;-0.3280;-1.5413;-4.0273;-0.1690;-0.9160;0.3510;1.0200;4.2340;1.8780;-0.0165;2.8551;1.7877;4.3867;1.6767;6.3147;3.8187;4.2677;2.8547;2.0227;-1.3553;3.6877;-2.4283;-3.0953;-1.6763;-3.2783;0.0000;-2.2283;-2.4263;-1.9743;-3.2143;-1.2063;0.5960;-0.2160;-1.0593;-4.2003;1.4440;1.3540;0.1770;1.3230;1.5220;-2.3727;-2.0080;-0.3230;3.6004;1.0066;8.4777;3.8147;6.1667;5.9347;2.6097;2.0037;-2.0903;-2.6803;-0.8773;-2.4103;
06.02.2024 19:40;-1.8663;-1.9043;-1.6583;-1.3083;-2.2463;-1.4443;0.5610;-0.7630;-0.3863;-2.8823;-0.0090;-0.7510;0.9690;1.6690;4.5570;2.4600;0.5697;3.4376;2.3702;4.9767;2.0907;6.9387;4.0357;4.5497;3.2707;2.5697;-0.4913;4.1477;-0.9123;-1.7833;-0.1283;-1.9983;0.0000;-1.0373;-1.2813;-0.6783;-2.1963;-0.0383;0.5650;-0.3650;0.1407;-2.9403;1.5310;1.5890;0.6980;1.5360;1.9000;-2.3413;-1.4250;0.2780;4.1827;1.5960;8.9177;4.2857;6.5367;6.5107;3.2867;2.7457;-0.8833;-2.1143;0.6797;-1.1773;
06.02.2024 19:35;-2.6908;-2.8878;-2.4738;-2.2628;-3.1538;-2.4098;0.1750;-0.8300;-1.2908;-3.8258;-0.2310;-1.0390;0.1030;1.3190;4.0800;2.1410;0.2477;3.1195;2.0515;4.6522;1.7082;6.5982;3.8902;4.3102;2.9482;2.0132;-1.4158;3.6602;-2.0858;-2.4348;-1.1508;-3.0048;0.0000;-1.9518;-1.9748;-1.6628;-3.1678;-0.9408;0.2740;0.0740;-0.8188;-3.7438;1.3890;1.4740;0.3750;1.2720;1.5260;-2.3787;-1.7310;-0.0590;3.8636;1.2660;8.5342;3.8012;6.1212;6.0892;2.7662;2.0952;-1.9478;-2.4778;-0.2048;-2.0298;
06.02.2024 19:30;-2.8350;-2.8900;-2.5550;-2.1860;-2.9370;-2.2460;0.5600;-0.2130;-1.1230;-3.8630;-0.0580;-0.8760;0.0730;1.6380;4.3830;1.9680;0.0822;2.9442;1.8782;4.4770;1.3970;6.0350;3.3710;3.9380;2.5490;1.6790;-1.5440;3.3290;-2.0100;-2.3010;-1.0340;-3.1300;0.0000;-2.0460;-2.0060;-1.6050;-2.9250;-0.7830;0.5690;0.1430;-0.7830;-3.8260;1.5370;1.3750;0.3520;1.4140;1.7700;-2.3627;-1.9310;-0.2430;3.6901;1.0790;8.3050;3.4000;5.9670;5.5220;2.2900;1.8850;-1.8490;-2.2420;-0.5010;-2.1390;
06.02.2024 19:25;-2.6625;-2.6665;-2.5035;-2.1825;-3.0185;-2.2665;0.2790;-0.2280;-1.2775;-3.6745;-0.3130;-1.1130;0.4100;1.6340;4.0740;2.2930;0.4152;3.2712;2.2037;4.8135;1.6975;6.4375;3.9715;4.6155;3.1905;2.2395;-1.2915;3.8495;-1.9715;-2.3955;-1.0655;-2.9685;0.0000;-1.8695;-1.8095;-1.5595;-2.9615;-0.8465;0.3070;-0.2450;-0.7615;-3.7045;1.3010;1.3110;0.2240;1.2170;1.5100;-2.3835;-1.6050;0.1390;4.0158;1.4310;8.6475;3.8685;6.0615;6.0495;2.9315;2.2205;-1.7675;-2.5575;-0.5385;-1.9545;
06.02.2024 19:20;-3.3135;-3.2265;-3.0075;-2.8195;-3.6435;-2.8045;0.0530;-0.8320;-1.8325;-4.0475;-0.3650;-1.2050;0.1000;1.2580;3.9760;1.9420;0.0401;2.9200;1.8521;4.4545;1.5765;6.1335;3.6595;4.0315;2.5635;1.9285;-1.8055;3.8625;-2.6965;-2.3335;-1.4305;-3.5195;0.0000;-2.4765;-2.3915;-2.0945;-3.6355;-1.4245;0.2540;-0.3730;-1.2795;-4.1055;1.2060;1.0580;0.1730;1.0560;1.4080;-2.3903;-1.9110;-0.2810;3.6645;1.0648;8.3995;3.3555;5.8055;5.8745;2.4945;1.8945;-2.3145;-2.8025;-0.9495;-2.6365;
06.02.2024 19:15;-2.5685;-2.6395;-2.1585;-2.0505;-3.0175;-2.0215;0.6630;-0.1750;-1.0435;-3.7035;0.0590;-0.6470;0.8830;1.7700;4.5040;2.2980;0.4035;3.2774;2.2081;4.8115;1.7535;6.4145;3.9545;4.3845;3.1345;2.0285;-1.1505;3.6385;-1.9215;-2.8865;-1.1795;-2.7865;0.0000;-1.7945;-1.6535;-1.5265;-3.0075;-0.6445;0.6370;0.4210;-0.5595;-3.5765;1.7430;1.6510;0.7960;1.6520;1.8970;-2.3475;-1.5310;0.1560;4.0206;1.4304;8.5845;3.3175;6.3345;6.2615;3.1045;1.9385;-1.6145;-2.0815;-0.3725;-1.8115;
06.02.2024 19:10;-3.0262;-3.2142;-2.8682;-2.5352;-3.4722;-2.7192;0.1980;-0.5410;-1.6172;-4.1632;-0.3680;-1.1910;0.6620;1.4250;4.0520;1.8180;-0.0732;2.7966;1.7285;4.3348;1.4088;6.0428;3.6688;3.8848;2.7318;1.8658;-1.6142;3.7298;-2.4822;-3.3082;-1.8512;-3.3642;0.0000;-2.2472;-2.3372;-1.9192;-3.4582;-1.2952;0.1970;-0.1170;-1.1172;-4.1892;1.2180;1.0220;-0.0870;1.1770;1.4270;-2.3936;-2.0950;-0.3250;3.5405;0.9626;8.3268;3.3078;5.9798;5.7358;2.4928;1.7018;-2.2802;-2.8122;-1.1312;-2.4932;
06.02.2024 19:05;-2.3065;-2.2955;-2.1065;-1.8825;-2.6455;-1.9125;0.7570;0.1530;-0.7805;-3.2845;0.1520;-0.5720;1.0530;2.2510;4.5090;2.4690;0.5823;3.4474;2.3797;4.9845;2.3935;6.5125;4.3375;4.6005;3.4165;2.2515;-0.9135;4.0525;-1.9355;-2.6615;-1.0015;-2.6055;0.0000;-1.5485;-1.4915;-1.2255;-2.6215;-0.4675;1.0350;0.4440;-0.3605;-3.3495;1.9070;1.7390;1.1970;1.7450;2.0050;-2.3291;-1.3780;0.3540;4.1920;1.6294;9.1125;4.2255;6.6745;6.6385;3.1655;2.5085;-1.3665;-2.1495;0.0955;-1.6365;
06.02.2024 19:00;-3.1686;-3.2706;-2.9776;-2.7556;-3.4956;-2.8126;0.2020;-0.4590;-1.8096;-4.1316;-0.4300;-1.3040;0.6020;1.1720;3.9240;1.7680;-0.1139;2.7445;1.6784;4.2894;1.6104;5.7774;3.6704;3.9624;2.6784;1.6234;-1.7396;3.8434;-2.4746;-2.9136;-1.7106;-3.4736;0.0000;-2.3306;-2.4076;-2.0216;-3.5446;-1.3656;0.2340;-0.1090;-1.2406;-4.0786;1.2520;1.1170;0.0370;1.0290;1.3400;-2.3999;-2.0510;-0.3820;3.4903;0.8908;8.2084;3.1014;5.4644;5.6204;2.4924;2.0744;-2.2866;-2.7816;-0.8426;-2.4396;
